_IDOBJ;NOM_COMPLET;THEME;LIBTHEME;CATEGORIE;LIBCATEGORIE;TYPE;LIBTYPE;STATUT;COMMUNE;ADRESSE;TELEPHONE;WEB;CODE_POSTAL;location
1994;Maternelle Ecole du Centre;5;ENSEIGNEMENT;501;Maternelle;;;Public;ST-SEBASTIEN;Rue du Huit Mai 1945;02 40 80 73 33;www.saintsebastien.fr;44230;[ 47.2066285379681 , -1.50325651544284]
1995;Maternelle du Douet;5;ENSEIGNEMENT;501;Maternelle;;;Public;ST-SEBASTIEN;10 Rue Edouard Hervé;02 40 03 09 93;;44230;[ 47.1911530213821 , -1.51939079026588]
1996;Maternelle Marie Curie;5;ENSEIGNEMENT;501;Maternelle;;;Public;ST-SEBASTIEN;Rue du Bois Praud;02 40 03 32 28;;44230;[ 47.1982259221372 , -1.52532240803209]
1997;Maternelle Jean de La Fontaine;5;ENSEIGNEMENT;501;Maternelle;;;Public;ST-SEBASTIEN;Rue de la Pyramide;02 40 34 36 01;;44230;[ 47.2069539979912 , -1.49122247865218]
1998;Maternelle La Profondine;5;ENSEIGNEMENT;501;Maternelle;;;Public;ST-SEBASTIEN;Rue de l'Allée Verte;02 40 03 03 39;www.saintsebastien.fr;44230;[ 47.1947859263858 , -1.4889877731927]
2002;Elémentaire Théodore Monod;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ST-SEBASTIEN;6 Rue du Huit Mai 1945;02 40 80 79 98;www.saintsebastien.fr;44230;[ 47.2071690974453 , -1.50295417256493]
2003;Elémentaire Le Douet;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ST-SEBASTIEN;10B Rue Edouard Hervé;02 40 03 28 16;;44230;[ 47.1912688851604 , -1.51995209414919]
2004;Elémentaire Marie Curie;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ST-SEBASTIEN;Rue du Bois Praud;02 40 03 35 34;;44230;[ 47.1986322155639 , -1.52611778071304]
2005;Elémentaire Jean de La Fontaine;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ST-SEBASTIEN;Rue de la Pyramide;02 40 34 79 22;;44230;[ 47.2069736014544 , -1.49089254548434]
2006;Elémentaire La Profondine;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ST-SEBASTIEN;Rue de l'Allée Verte;02 40 03 06 67;www.saintsebastien.fr;44230;[ 47.1953489370861 , -1.48886799399421]
2008;Maternelle Elémentaire Sainte Thérèse;5;ENSEIGNEMENT;503;Primaire;;;Privé;ST-SEBASTIEN;15 Rue Jean Baptiste Robert;02 40 80 56 73;;44230;[ 47.2092431587214 , -1.50580454379318]
2009;Maternelle Elémentaire Sainte Bernadette;5;ENSEIGNEMENT;503;Primaire;;;Privé;ST-SEBASTIEN;3 Rue Robert Douineau;02 40 34 54 75;;44230;[ 47.1926949467797 , -1.517970053166]
2010;Collège Renè Bernier;5;ENSEIGNEMENT;504;Collège;;;Public;ST-SEBASTIEN;Rue de l'Ouche Quinet;02 40 03 07 70;;44230;[ 47.1931199770458 , -1.50131406349492]
2011;Collège Iles de Loire;5;ENSEIGNEMENT;504;Collège;;;Public;ST-SEBASTIEN;1 Avenue de Glinde;02 40 80 56 26;;44230;[ 47.2103280797455 , -1.48892541528928]
2012;Lycée Professionnel les Savarières;5;ENSEIGNEMENT;505;Lycée;;;Public;ST-SEBASTIEN;5 Avenue de Glinde;02 40 80 54 84;;44230;[ 47.2091583288446 , -1.48850173943206]
2013;Lycée Privé Professionnel La Baugerie;5;ENSEIGNEMENT;505;Lycée;;;Privé;ST-SEBASTIEN;Boulevard des Pas Enchantés;02 40 80 66 95;;44230;[ 47.2057563052032 , -1.51894771342441]
2014;Lycée Privé Technique Tertiaire Saint Pierre La Joliverie;5;ENSEIGNEMENT;505;Lycée;;;Privé;ST-SEBASTIEN;141B Route de Clisson;02 40 80 82 00;;44230;[ 47.1913570612988 , -1.5150461688086]
2015;Lycee Prive Technique Industriel Saint Joseph La Joliverie;5;ENSEIGNEMENT;505;Lycée;;;Privé;ST-SEBASTIEN;141B Route de Clisson;02 40 80 25 80;;44230;[ 47.1907791123497 , -1.51681565156896]
2016;Institut Régional de Formation aux Métiers de Rééducation et Réadaptation des Pa;5;ENSEIGNEMENT;507;Centre de formation;;;Non Renseigné;ST-SEBASTIEN;54 Rue de la Baugerie;02 51 79 09 79;www.ifm3r.fr;44230;[ 47.2050039165131 , -1.51429731561778]
2048;Centre de Formation d'Apprentis La Joliverie;5;ENSEIGNEMENT;507;Centre de formation;;;Non Renseigné;ST-SEBASTIEN;141B Route de Clisson;02 51 71 36 20;www.la-joliverie.com;44230;[ 47.1906461799119 , -1.51679392717183]
2071;Maternelle Celestin Freinet;5;ENSEIGNEMENT;501;Maternelle;;;Public;BOUGUENAIS;Rue Célestin Freinet;02 40 65 10 13;www.ville-bouguenais.fr;44340;[ 47.1817412975978 , -1.58907522516069]
2072;Maternelle Chateaubriand;5;ENSEIGNEMENT;501;Maternelle;;;Public;BOUGUENAIS;29 Avenue du Général De Gaulle;02 40 65 12 36;www.ville-bouguenais.fr;44340;[ 47.1782690798528 , -1.61949542420508]
2073;Maternelle  La Croix Jeannette;5;ENSEIGNEMENT;501;Maternelle;;;Public;BOUGUENAIS;Place de la Croix Jeannette;02 40 65 05 83;www.ville-bouguenais.fr;44340;[ 47.1725184104664 , -1.62054099482354]
2074;Maternelle Francoise Dolto;5;ENSEIGNEMENT;501;Maternelle;;;Public;BOUGUENAIS;Rue du Dix Neuf Mars 1962;02 40 65 21 69;www.ville-bouguenais.fr;44340;[ 47.178709306967 , -1.59012243534787]
2075;Maternelle Fougan-de-Mer;5;ENSEIGNEMENT;501;Maternelle;;;Public;BOUGUENAIS;1 Rue du Commandant Charcot;02 40 65 02 24;www.ville-bouguenais.fr;44340;[ 47.1831691298422 , -1.57846891796627]
2076;Elémentaire Jean Zay;5;ENSEIGNEMENT;502;Elémentaire;;;Public;BOUGUENAIS;Chemin Paul Eluard;02 40 65 24 88;www.ville-bouguenais.fr;44340;[ 47.1730106111394 , -1.62584492444083]
2077;Elémentaire Chateaubriand;5;ENSEIGNEMENT;502;Elémentaire;;;Public;BOUGUENAIS;2 Rue de la Commune de Paris 1871;02 40 65 12 45;www.ville-bouguenais.fr;44340;[ 47.1786531370074 , -1.61872205422499]
2078;Ecole Saint-Pierre;5;ENSEIGNEMENT;503;Primaire;;;Privé;BOUGUENAIS;Chemin de la Pierre Levée;02 40 32 02 27;www.ville-bouguenais.fr;44340;[ 47.1769157881541 , -1.62238290384652]
2079;Collège de La Neustrie;5;ENSEIGNEMENT;504;Collège;;;Public;BOUGUENAIS;14 Rue de la Neustrie;02 40 65 10 04;www.ville-bouguenais.fr;44340;[ 47.1757558233213 , -1.590715855972]
2080;Elémentaire Fougan-de-Mer;5;ENSEIGNEMENT;502;Elémentaire;;;Public;BOUGUENAIS;Rue Louise Michel;02 40 65 15 87;www.ville-bouguenais.fr;44340;[ 47.1827361435511 , -1.57910283774046]
2082;Elémentaire Urbain le Verrier;5;ENSEIGNEMENT;502;Elémentaire;;;Public;BOUGUENAIS;Rue Urbain Le Verrier;02 40 65 17 78;www.ville-bouguenais.fr;44340;[ 47.1787759137966 , -1.58924909574304]
2084;Lycée Professionnel Pablo Néruda;5;ENSEIGNEMENT;505;Lycée;;;Public;BOUGUENAIS;Square Pablo Neruda;02 40 32 02 49;pablo-neruda.paysdelaloire.e-lyco.fr;44340;[ 47.1713327085739 , -1.62287559502891]
2085;Lycée Professionnel Hôtelier Privé Daniel Brottier;5;ENSEIGNEMENT;505;Lycée;;;Privé;BOUGUENAIS;Chemin du Couvent;02 40 65 29 90;www.ville-bouguenais.fr;44340;[ 47.1868719345651 , -1.5856762964421]
2115;Primaire Saint-Joseph;5;ENSEIGNEMENT;503;Primaire;;;Privé;ORVAULT;25 Rue Hubert De la Brosse;02 40 63 10 86;www.ecolesaintjosephorvault.fr;44700;[ 47.2719384865437 , -1.61986088010164]
2116;Centre de Formation d'Apprentis Horticoles Jules Rieffel;5;ENSEIGNEMENT;507;Centre de formation;;;Non Renseigné;ST-HERBLAIN;Rue de la Syonnière;02 40 94 86 08;;44800;[ 47.2525536233127 , -1.6417964812005]
2135;Lycee Agricole Jules Rieffel;5;ENSEIGNEMENT;505;Lycée;;;Public;ST-HERBLAIN;5 Rue de la Syonnière;02 40 94 99 30;;44800;[ 47.2528460254792 , -1.64145615456461]
2139;Maternelle Elémentaire Sainte Anne;5;ENSEIGNEMENT;503;Primaire;;;Privé;INDRE;2 Place du Prieuré;02 40 38 07 32;;44610;[ 47.1988074268817 , -1.67100443696323]
2145;Centre de Formation Compagnonique;5;ENSEIGNEMENT;507;Centre de formation;;;Non Renseigné;ST-SEBASTIEN;238 Rue de la Pyramide;02 51 79 13 20;;44230;[ 47.1976932112479 , -1.48365899332727]
2210;Lycee Saint Dominique;5;ENSEIGNEMENT;505;Lycée;;;Privé;ST-HERBLAIN;103B Avenue de Cheverny;02 28 01 72 72;www.saint-herblain.fr;44800;[ 47.2428986607392 , -1.60406253592319]
2211;Collège Saint Dominique;5;ENSEIGNEMENT;504;Collège;;;Privé;ST-HERBLAIN;103B Avenue de Cheverny;02 28 01 72 72;www.saint-herblain.fr;44800;[ 47.242990037061 , -1.60457252626437]
2212;Primaire Saint Dominique;5;ENSEIGNEMENT;503;Primaire;;;Privé;ST-HERBLAIN;103B Avenue de Cheverny;02 28 01 72 72;www.saint-herblain.fr;44800;[ 47.2432599359208 , -1.60526153160114]
2221;Maternelle René Guy Cadou;5;ENSEIGNEMENT;501;Maternelle;;;Public;ST-HERBLAIN;2 Rue du Bois de Lagland;02 40 63 14 35;www.saint-herblain.fr;44800;[ 47.233694341537 , -1.63201866962857]
2237;Elémentaire Saint Hermeland;5;ENSEIGNEMENT;502;Elémentaire;;;Privé;ST-HERBLAIN;20 Rue des Calvaires;02 40 86 59 16;www.saint-herblain.fr;44800;[ 47.2138458710052 , -1.64992903608882]
2239;Primaire Sainte-Marie;5;ENSEIGNEMENT;503;Primaire;;;Privé;ST-HERBLAIN;7 Place de l'Abbé Cherel;02 40 86 16 28;www.saint-herblain.fr;44800;[ 47.2101609398005 , -1.65107809506592]
2276;Centre de Formation Recherche Educative Sociale Restaurant d'Application;5;ENSEIGNEMENT;507;Centre de formation;;;Privé;NANTES;68 Rue de la Haluchère;02 40 93 23 34;;44300;[ 47.2465655927305 , -1.51542101160623]
2291;Centre de Formation Recherche Educative Sociale Atelier - Est;5;ENSEIGNEMENT;507;Centre de formation;;;Privé;NANTES;4 Route de Sainte Luce;02 40 49 11 02;;44300;[ 47.2285793740862 , -1.52580633313846]
2292;CEFRES atelier - Beaulieu;5;ENSEIGNEMENT;507;Centre de formation;;;Privé;NANTES;22 Rue la Tour d'Auvergne;02 40 48 24 47;;44200;[ 47.2066735793639 , -1.5561552526668]
2293;Institut Départemental Jeunes Sourds Persagotière;5;ENSEIGNEMENT;507;Centre de formation;;;Non Renseigné;NANTES;2 Rue René Dunan;02 40 75 63 15;;44200;[ 47.1929379658582 , -1.53835049865576]
2578;Centre de Formation Chambre de Métiers;5;ENSEIGNEMENT;507;Centre de formation;;;Non Renseigné;SAINTE-LUCE-SUR-LOIRE;1 Place Jacques Chesné;02 40 18 96 96;;44980;[ 47.2636611203558 , -1.48930919681705]
2594;Centre de Formation Transport et Logistique;5;ENSEIGNEMENT;507;Centre de formation;;;Non Renseigné;SAINTE-LUCE-SUR-LOIRE;2 Rue Jean Mermoz;02 40 18 13 13;;44980;[ 47.2744702372609 , -1.46568715371661]
2749;Primaire Grand Carcouët;5;ENSEIGNEMENT;503;Primaire;;;Public;NANTES;7 Rue Louis Brisset;02 40 76 09 46;;44100;[ 47.22866262955 , -1.59327461656984]
2750;Primaire Longchamp;5;ENSEIGNEMENT;503;Primaire;;;Public;NANTES;6 Rue du Vélodrome de Longchamp;02 40 76 50 11;http;44300;[ 47.2389165059771 , -1.57310031397667]
2801;Collège de Goulaine;5;ENSEIGNEMENT;504;Collège;;;Public;BASSE-GOULAINE;Rue du Général Leclerc;02 40 03 51 82;;44115;[ 47.2178055474132 , -1.46275105041326]
2802;Maternelle de la Champagnère;5;ENSEIGNEMENT;501;Maternelle;;;Public;BASSE-GOULAINE;Rue de la Champagnère;02 40 06 01 39;;44115;[ 47.2100262832455 , -1.46491030262381]
2804;Maternelle Sainte Marie;5;ENSEIGNEMENT;501;Maternelle;;;Privé;BASSE-GOULAINE;8 Rue de la Vieille Cure;02 40 06 04 15;;44115;[ 47.2156598880823 , -1.46639159323889]
2805;Elémentaire Le Grignon;5;ENSEIGNEMENT;502;Elémentaire;;;Public;BASSE-GOULAINE;Rue de la Poste;02 40 06 01 31;;44115;[ 47.2173890364362 , -1.46689054311408]
2806;Maternelle Henri Lesage;5;ENSEIGNEMENT;501;Maternelle;;;Public;VERTOU;132 Route de la Fontenelle;02 51 71 06 33;;44120;[ 47.187722487574 , -1.50114975004779]
2807;Primaire Sainte Famille;5;ENSEIGNEMENT;503;Primaire;;;Privé;VERTOU;12 Rue de l'Asile;02 40 34 49 82;;44120;[ 47.1824371095654 , -1.511292198526]
2808;Elémentaire Henri Lesage;5;ENSEIGNEMENT;502;Elémentaire;;;Public;VERTOU;27 Rue des Ecoles;02 51 71 06 32;;44120;[ 47.1871250535773 , -1.50050156468779]
2809;Maternelle Maryse Bastié;5;ENSEIGNEMENT;501;Maternelle;;;Public;BOUAYE;12 Avenue du Moulin;02 40 32 60 13;;44830;[ 47.145585488459 , -1.69071374849392]
2810;Elémentaire Maryse Bastié;5;ENSEIGNEMENT;502;Elémentaire;;;Public;BOUAYE;12 Avenue du Moulin;02 40 65 46 40;;44830;[ 47.1458231666132 , -1.69103145718892]
2811;Primaire Notre Dame de la Trinité;5;ENSEIGNEMENT;503;Primaire;;;Privé;BOUAYE;44 Rue de l'Ancienne Eglise;02 40 65 51 00;;44830;[ 47.1470469142932 , -1.69648192231168]
2812;Primaire Victor Hugo;5;ENSEIGNEMENT;503;Primaire;;;Public;BOUAYE;Rue de la Gare;02 40 65 52 76;;44830;[ 47.1436603925091 , -1.69163936585666]
2813;Lycée Général et Technologique La Herdrie;5;ENSEIGNEMENT;505;Lycée;;;Public;BASSE-GOULAINE;81 Rue de la Basse Lande;02 51 71 32 00;;44115;[ 47.1978020518969 , -1.44974619496107]
2815;Lycée Général et Technologique Alcide d'Orbigny;5;ENSEIGNEMENT;505;Lycée;;;Public;BOUAYE;Esplanade de l'Edit de Nantes;02 51 70 55 11;;44830;[ 47.1558116706201 , -1.68024055250338]
2816;Lycée Professionnel Jean Jacques Audubon;5;ENSEIGNEMENT;505;Lycée;;;Public;COUERON;Boulevard Paul Langevin;02 40 86 11 67;;44220;[ 47.2148147054545 , -1.7238740944728]
2817;Lycée d'Enseignement Agricole Privé Centre de Formation Professionnel Saint Gabr;5;ENSEIGNEMENT;505;Lycée;;;Privé;LE-PELLERIN;Allée du Bois Tillac;08 10 05 64 05;www.saint-gabriel-nantes-ocean.fr;44640;[ 47.2035334981134 , -1.7689232665522]
2818;Lycée Général et Technologique Jean Perrin;5;ENSEIGNEMENT;505;Lycée;;;Public;REZE;Rue du Château de Rezé;02 40 32 44 00;;44400;[ 47.1812877384222 , -1.55976686145892]
2819;Lycée Professionnel Jean Louis Goussier;5;ENSEIGNEMENT;505;Lycée;;;Public;REZE;Rue du Château de Rezé;02 40 32 44 00;;44400;[ 47.1811356048672 , -1.5594927653824]
2820;Lycée Professionnel Notre Dame;5;ENSEIGNEMENT;505;Lycée;;;Privé;REZE;50 Rue Jean Jaurès;02 40 32 87 87;www.notre-dame-reze.fr;44400;[ 47.1878111559182 , -1.54733166382256]
2821;Collège Petite Lande;5;ENSEIGNEMENT;504;Collège;;;Public;REZE;105 Rue Georges Berthomé;02 40 75 48 50;;44400;[ 47.1787909345384 , -1.5498910922855]
2822;Collège Pont Rousseau;5;ENSEIGNEMENT;504;Collège;;;Public;REZE;3 Rue Félix Tableau;02 40 75 15 72;;44400;[ 47.1869696976656 , -1.54517347389106]
2823;Collège Bellestre;5;ENSEIGNEMENT;504;Collège;;;Public;BOUAYE;Rue du Stade;02 51 70 50 71;;44830;[ 47.1485914184079 , -1.69582789288933]
2824;Collège Saint Hermeland;5;ENSEIGNEMENT;504;Collège;;;Privé;BOUAYE;8 Rue de l'Ancienne Eglise;02 40 65 46 10;;44830;[ 47.1441721677739 , -1.696638884678]
2825;Collège Sainte Anne;5;ENSEIGNEMENT;504;Collège;;;Privé;CARQUEFOU;7 Rue Jean XXIII;02 40 50 90 93;;44470;[ 47.2949182597702 , -1.49347560263763]
2826;Collège Gérard Philipe;5;ENSEIGNEMENT;504;Collège;;;Public;CARQUEFOU;7 Rue Victor Hugo;02 40 52 68 44;;44470;[ 47.2832036592939 , -1.48454282427926]
2827;Collège Pierre et Marie Curie;5;ENSEIGNEMENT;504;Collège;;;Public;LE-PELLERIN;4 Rue de l'Hermitage;02 40 04 65 75;pmcurie.loire-atlantique.e-lyco.fr/;44640;[ 47.1954264023119 , -1.75747365487475]
2828;Collège Paul Langevin;5;ENSEIGNEMENT;504;Collège;;;Public;COUERON;Boulevard Paul Langevin;02 40 86 11 67;;44220;[ 47.2145897871586 , -1.72235483906688]
2829;Collège Sainte Philomène;5;ENSEIGNEMENT;504;Collège;;;Privé;COUERON;31 Rue Jean Jaurès;02 40 86 18 34;;44220;[ 47.2122624495007 , -1.7241323141271]
2830;Collège de La Coutancière;5;ENSEIGNEMENT;504;Collège;;;Public;LA-CHAPELLE-SUR-ERDRE;6 Allée de la Coutancière;02 40 29 76 16;clg.coutanciere.free.fr;44240;[ 47.3084062724082 , -1.56222005467746]
2831;Collège Le Grand Beauregard;5;ENSEIGNEMENT;504;Collège;;;Public;LA-CHAPELLE-SUR-ERDRE;10 Rue Léo Lagrange;02 40 72 94 20;www.lachapellesurerdre.fr;44240;[ 47.2974527343716 , -1.55713876305393]
2832;Collège Saint Exupéry;5;ENSEIGNEMENT;504;Collège;;;Public;LA-MONTAGNE;Rue Saint-Exupéry;02 40 65 68 79;;44620;[ 47.1844990799424 , -1.68293053979965]
2833;Collège Notre Dame;5;ENSEIGNEMENT;504;Collège;;;Privé;LA-MONTAGNE;5 Rue du Calvaire;02 40 65 60 67;;44620;[ 47.1897355559054 , -1.68707198742148]
2835;Collège Sainte Anne;5;ENSEIGNEMENT;504;Collège;;;Privé;REZE;11 Rue Saint Lupien;02 40 75 42 71;;44400;[ 47.1916987202651 , -1.56783982207037]
2836;Collège Saint Paul;5;ENSEIGNEMENT;504;Collège;;;Privé;REZE;68 Rue Jean Jaurès;02 51 11 01 01;;44400;[ 47.1868252278776 , -1.5476694437663]
2837;Collège La Reinetière;5;ENSEIGNEMENT;504;Collège;;;Public;SAINTE-LUCE-SUR-LOIRE;Boulevard Louis Pasteur;02 40 25 71 27;;44980;[ 47.2583738609297 , -1.48880391434526]
2838;Collège Les Sables d'Or;5;ENSEIGNEMENT;504;Collège;;;Public;THOUARE-SUR-LOIRE;7 Route de la Barre;02 51 85 95 10;http://sablesdor-thouare.loire-atlantique.e-lyco.fr;44470;[ 47.2643106488549 , -1.45647916260235]
2839;Collège Jean Monnet;5;ENSEIGNEMENT;504;Collège;;;Public;VERTOU;51 Boulevard des Sports;02 51 71 09 09;www.vertou.fr;44120;[ 47.165868715734 , -1.46664996004937]
2840;Collège Saint Blaise;5;ENSEIGNEMENT;504;Collège;;;Privé;VERTOU;14 Rue du Général De Gaulle;02 40 34 37 61;www.collegesaintblaise-vertou.fr;44120;[ 47.166008861254 , -1.46919086101288]
2841;Primaire Notre Dame;5;ENSEIGNEMENT;503;Primaire;;;Privé;LE-PELLERIN;12 Rue de l'Enclos;02 40 04 54 22;;44640;[ 47.2008190083552 , -1.75344911534872]
2842;Elémentaire l'Hermitage;5;ENSEIGNEMENT;502;Elémentaire;;;Public;LE-PELLERIN;2 Rue de l'Hermitage;02 40 04 65 49;;44640;[ 47.1964316557237 , -1.75791081148231]
2843;Maternelle Les Asphodèles;5;ENSEIGNEMENT;501;Maternelle;;;Public;LE-PELLERIN;6 Rue de l'Hermitage;02 40 04 64 33;;44640;[ 47.1948380336464 , -1.75690479130485]
2844;Elémentaire Aimé Césaire;5;ENSEIGNEMENT;502;Elémentaire;;;Public;LE-PELLERIN;Rue de la Génolière;02 40 04 68 90;www.ville-lepellerin.fr;44640;[ 47.1970073982388 , -1.76191027106024]
2845;Primaire Notre Dame;5;ENSEIGNEMENT;503;Primaire;;;Privé;LA-MONTAGNE;5 Rue du Calvaire;02 40 65 82 28;;44620;[ 47.1896802111447 , -1.68644373799428]
2846;Maternelle Marcel Gouzil;5;ENSEIGNEMENT;501;Maternelle;;;Public;LA-MONTAGNE;Rue Salvador Allende;02 40 65 81 58;;44620;[ 47.1864601346731 , -1.68691934223627]
2847;Elémentaire Jules Verne;5;ENSEIGNEMENT;502;Elémentaire;;;Public;LA-MONTAGNE;Rue Jules Verne;02 40 65 70 79;;44620;[ 47.1881133316381 , -1.67551570551948]
2848;Elémentaire Jules Ferry;5;ENSEIGNEMENT;502;Elémentaire;;;Public;LA-MONTAGNE;Rue Jules Ferry;02 40 65 75 41;;44620;[ 47.1904780708383 , -1.68757694696312]
2849;Maternelle Joachim du Bellay;5;ENSEIGNEMENT;501;Maternelle;;;Public;LA-MONTAGNE;Rue Joachim Du Bellay;02 40 65 70 94;;44620;[ 47.1828822524812 , -1.68027493151567]
2850;Elémentaire Pierre Mara;5;ENSEIGNEMENT;502;Elémentaire;;;Public;INDRE;16 Rue Jean-Baptiste Rabillard;02 40 86 06 18;;44610;[ 47.195626185115 , -1.6486964166078]
2851;Maternelle Pierre Mara;5;ENSEIGNEMENT;501;Maternelle;;;Public;INDRE;16 Rue Jean-Baptiste Rabillard;02 40 38 05 82;;44610;[ 47.1956620578288 , -1.6494586849107]
2852;Maternelle Jules Ferry;5;ENSEIGNEMENT;501;Maternelle;;;Public;INDRE;1 Rue de la Gare;02 40 38 05 81;;44610;[ 47.2000169055873 , -1.67025207357105]
2854;Elémentaire Jules Ferry;5;ENSEIGNEMENT;502;Elémentaire;;;Public;INDRE;5 Rue de la Gare;02 40 86 01 49;;44610;[ 47.2002326595237 , -1.66971511958311]
2855;Elémentaire Saint Symphorien;5;ENSEIGNEMENT;502;Elémentaire;;;Privé;COUERON;53 Rue Henri Gautier;02 40 86 12 15;;44220;[ 47.2161627839999 , -1.72951666475033]
2856;Maternelle Rose Orain;5;ENSEIGNEMENT;501;Maternelle;;;Public;COUERON;5 Rue du Professeur Jean Bernard;02 40 38 06 12;;44220;[ 47.2118409775509 , -1.72610042790858]
2857;Elémentaire Paul Bert;5;ENSEIGNEMENT;502;Elémentaire;;;Public;COUERON;Rue Rouget de Lisle;02 40 38 00 38;;44220;[ 47.2170314946378 , -1.68451305249117]
2858;Elémentaire Marcel Gouzil;5;ENSEIGNEMENT;502;Elémentaire;;;Public;COUERON;Boulevard Francois Blancho;02 40 38 00 26;;44220;[ 47.2153464885253 , -1.72722333239736]
2859;Maternelle Charlotte Divet;5;ENSEIGNEMENT;501;Maternelle;;;Public;COUERON;56 Rue Henri Gautier;02 40 86 11 85;;44220;[ 47.2150461431534 , -1.72818714928865]
2860;Elémentaire Louise Michel;5;ENSEIGNEMENT;502;Elémentaire;;;Public;COUERON;3 Rue du Professeur Jean Bernard;02 40 86 11 83;;44220;[ 47.2121938517449 , -1.72587696833371]
2861;Maternelle Léon Blum;5;ENSEIGNEMENT;501;Maternelle;;;Public;COUERON;Rue de la Pierre;02 40 86 19 64;;44220;[ 47.214744659919 , -1.71877390518722]
2862;Elémentaire La Métairie;5;ENSEIGNEMENT;502;Elémentaire;;;Public;COUERON;Rue de Trévellec;02 40 38 00 44;;44220;[ 47.2169508085666 , -1.7002907872772]
2863;Maternelle La Métairie;5;ENSEIGNEMENT;501;Maternelle;;;Public;COUERON;Rue de Trévellec;02 40 86 12 52;;44220;[ 47.2172184342488 , -1.69989954968891]
2864;Maternelle Jean Macé;5;ENSEIGNEMENT;501;Maternelle;;;Public;COUERON;Rue de la Noë Allais;02 40 86 02 47;;44220;[ 47.2179053269762 , -1.68362694508283]
2865;Elémentaire Aristide Briand;5;ENSEIGNEMENT;502;Elémentaire;;;Public;COUERON;Rue du Premier Mai;02 40 38 01 51;;44220;[ 47.215055484327 , -1.68242468403872]
2866;Elémentaire Anne Franck;5;ENSEIGNEMENT;502;Elémentaire;;;Public;COUERON;Rue de la Pierre;02 40 38 01 25;;44220;[ 47.2149655663879 , -1.71940260121321]
2867;Maternelle Saint Symphorien;5;ENSEIGNEMENT;501;Maternelle;;;Privé;COUERON;27 Rue Jean Jaurès;02 40 86 07 53;;44220;[ 47.2124311187591 , -1.72472161326267]
2868;Primaire Sainte Anne;5;ENSEIGNEMENT;503;Primaire;;;Privé;BRAINS;26 Rue du Plessis;02 40 65 40 48;;44830;[ 47.1666917546157 , -1.72046818136633]
2869;Primaire Jules Verne;5;ENSEIGNEMENT;503;Primaire;;;Public;BRAINS;20 Rue des Clos Mâts;02 40 65 47 54;;44830;[ 47.1678101699788 , -1.72215536475243]
2870;Primaire Saint Joseph;5;ENSEIGNEMENT;503;Primaire;;;Privé;CARQUEFOU;6 Rue Jeanne d'Arc;02 40 50 90 76;;44470;[ 47.2957333701578 , -1.49237474358027]
2871;Primaire Louis Armand;5;ENSEIGNEMENT;503;Primaire;;;Public;CARQUEFOU;13 Rue Notre Dame la Blanche;02 40 52 97 82;;44470;[ 47.296580796 , -1.48923094520603]
2874;Primaire Jacques Prévert;5;ENSEIGNEMENT;503;Primaire;;;Public;CARQUEFOU;4 Rue Victor Hugo;02 28 01 55 20;;44470;[ 47.2816275435507 , -1.48438568125275]
2875;Primaire Georges Brassens;5;ENSEIGNEMENT;503;Primaire;;;Public;CARQUEFOU;10 Rue Victor Hugo;02 28 01 55 20;www.carquefou.fr;44470;[ 47.2824606123239 , -1.48332489272721]
2878;Primaire Anne Frank;5;ENSEIGNEMENT;503;Primaire;;;Public;CARQUEFOU;8 Rue Pierre Mendes France;02 28 01 51 90;;44470;[ 47.3017033429562 , -1.49012546271232]
2879;Elémentaire La Croix Jeannette;5;ENSEIGNEMENT;502;Elémentaire;;;Public;BOUGUENAIS;Place de la Croix Jeannette;02 40 65 09 86;www.ville-bouguenais.fr;44340;[ 47.1722229700622 , -1.62089231529402]
2880;Maternelle La Tilleulière;5;ENSEIGNEMENT;501;Maternelle;;;Public;LES-SORINIERES;1 Rue des Ecoles;02 40 05 77 07;;44840;[ 47.1467344807957 , -1.5282466279859]
2881;Elémentaire La Tilleulière;5;ENSEIGNEMENT;502;Elémentaire;;;Public;LES-SORINIERES;85 Rue Georges Clemenceau;02 40 05 77 08;;44840;[ 47.1470156621752 , -1.52866283967035]
2882;Maternelle Le Clos du Moulin;5;ENSEIGNEMENT;501;Maternelle;;;Public;LES-SORINIERES;60 Rue des Sports;02 40 05 77 15;;44840;[ 47.1449930817947 , -1.5225416707014]
2883;Elémentaire Le Clos du Moulin;5;ENSEIGNEMENT;502;Elémentaire;;;Public;LES-SORINIERES;60 Rue des Sports;02 40 05 77 16;;44840;[ 47.1448977507314 , -1.52306405010763]
2884;Primaire Sainte Marie;5;ENSEIGNEMENT;503;Primaire;;;Privé;LES-SORINIERES;9 Rue des Ecoles;02 40 31 22 00;;44840;[ 47.1487282365773 , -1.52798632847985]
2885;Maternelle Elémentaire Jules Verne;5;ENSEIGNEMENT;503;Primaire;;;Public;MAUVES-SUR-LOIRE;11B Rue du Cellier;02 40 25 51 66;;44470;[ 47.2972775084754 , -1.39332813430742]
