_IDOBJ;NOM_COMPLET;THEME;LIBTHEME;CATEGORIE;LIBCATEGORIE;TYPE;LIBTYPE;STATUT;COMMUNE;ADRESSE;TELEPHONE;WEB;CODE_POSTAL;location
1872;Ecole Polytechnique;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;Route de Gachet;02 40 68 32 00;www.polytech.univ-nantes.fr;44300;[ 47.2815266711437 , -1.51581959902763]
1882;Collège Gutenberg;5;ENSEIGNEMENT;504;Collège;;;Public;ST-HERBLAIN;Avenue de l'Angevinière;02 51 77 81 10;www.saint-herblain.fr;44800;[ 47.2466783288907 , -1.61167666500499]
117;CREPS Centre de Ressources d'Expertises et de Performances Sportives;5;ENSEIGNEMENT;506;Supérieur;;;Non Renseigné;NANTES;Place Gabriel Trarieux;02 51 89 16 30;;44300;[ 47.2263920731482 , -1.52285182087091]
138;Conservatoire de Nantes;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;4 Rue Gaëtan Rondeau;02 51 25 00 20;www.conservatoire.nantes.fr;44200;[ 47.2078475523463 , -1.53259290262845]
416;Lycée Général Les Bourdonnières;5;ENSEIGNEMENT;505;Lycée;;;Public;NANTES;6 Rue de la Perrière;02 40 34 02 60;bourdonnieres.paysdelaloire.e-lyco.fr;44200;[ 47.1862714556632 , -1.52005900444297]
417;Institut Régional Formation aux Professions de Santé, E.d'Infirmièr(e)s  Anesthé;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;50 Route de Saint Sébastien;02 40 84 68 01;www.chu-nantes.fr;44200;[ 47.1982444374192 , -1.53138173707224]
418;Maternelle Louise Michel;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;21 Rue Paul Ramadier;02 40 47 75 78;;44200;[ 47.2053416538271 , -1.53118832398368]
419;Elémentaire Ledru Rollin;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;47 Rue Ledru Rollin;02 40 84 26 62;;44200;[ 47.1921127789088 , -1.53473020302025]
420;Maternelle Sarah Bernhardt;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;38 Rue de la Ripossière;02 40 75 64 94;;44200;[ 47.1930057322291 , -1.53420942808393]
422;Maternelle Elémentaire Notre Dame de la Sagesse;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;16 Rue Frère Louis;02 40 75 66 34;;44200;[ 47.1954576373764 , -1.53872199573899]
423;Collège Saint Jacques;5;ENSEIGNEMENT;504;Collège;;;Privé;NANTES;11 Rue Gabriel Goudy;02 40 75 50 90;;44200;[ 47.1958743812332 , -1.53982251457064]
424;Maternelle Pauline Kergomard;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;4 Rue Pierre Etienne Flandin;02 40 35 23 56;;44200;[ 47.203281419476 , -1.53866149715948]
425;Elémentaire Anatole de Monzie;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;2 Rue Léon Buerne;02 40 89 17 78;;44200;[ 47.202695868785 , -1.54156980971393]
426;Maternelle Gustave Roch;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;24 Boulevard Gustave Roch;02 40 35 44 30;;44200;[ 47.2048140502147 , -1.55046804632641]
427;Collège Aristide Briand;5;ENSEIGNEMENT;504;Collège;;;Public;NANTES;19 Rue Louis Blanc;02 40 35 05 50;;44200;[ 47.2059786328662 , -1.55425555401982]
428;Elémentaire Garennes;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;7 Place des Garennes;02 40 73 55 45;;44100;[ 47.2017287218265 , -1.57885466369907]
429;Maternelle Elémentaire Sainte Anne;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;4 Rue Mounet Sully;02 40 69 35 77;;44100;[ 47.2032803389143 , -1.57962381581483]
430;Maternelle Joseph Blanchart;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;94 Rue Joseph Blanchart;02 40 73 33 77;;44100;[ 47.2054214209009 , -1.57814883988811]
431;Collège Sainte Madeleine;5;ENSEIGNEMENT;504;Collège;;;Privé;NANTES;10 Quai Hoche;02 40 20 59 00;;44200;[ 47.2066607877966 , -1.55196917888226]
432;Maternelle Urbain Le Verrier;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;11 Rue Urbain Le Verrier;02 40 50 66 86;;44300;[ 47.2414548752069 , -1.52081969835379]
434;Maternelle Elémentaire Notre Dame des Batignolles;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;184 Boulevard Jules Verne;02 40 49 51 93;;44300;[ 47.2463453769746 , -1.52324696532312]
435;Maternelle Marsauderies;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;9 Rue de la Bertinière;02 40 49 39 56;;44300;[ 47.2429783019405 , -1.53104479929558]
436;Centre de Formation dans l'industrie;5;ENSEIGNEMENT;507;Centre de formation;;;Non Renseigné;NANTES;41 Boulevard des Batignolles;02 51 13 21 52;www.afpiatlantique.asso.fr;44300;[ 47.2537507699605 , -1.52792124344316]
437;Maternelle Batignolles;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;45 Route de Paris;02 40 49 14 84;;44300;[ 47.2518712386716 , -1.51813587169121]
438;Maternelle Beaujoire;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;64 Boulevard Professeur René Auvigné;02 40 49 56 66;;44300;[ 47.257735567603 , -1.51883363505913]
440;Maternelle Louis Pergaud;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;4 Rue Louis Pergaud;02 40 30 11 05;;44300;[ 47.2685545808816 , -1.52030875926764]
441;Maternelle Le Linot;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;45 Rue du Port des Charrettes;02 40 30 22 80;eepu-le-linot-44.ac-nantes.fr;44300;[ 47.267885648747 , -1.52808246513429]
442;Maternelle Elémentaire Saint Yves;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;498 Route de Saint Joseph;02 40 30 24 10;;44300;[ 47.2703235349392 , -1.51845218741903]
444;Primaire Alphonse Braud;5;ENSEIGNEMENT;503;Primaire;;;Public;NANTES;34 Rue Gutenberg;02 40 46 23 08;;44100;[ 47.2020027202868 , -1.58620920480366]
445;Elémentaire Mutualité;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;4 Rue de la Mutualité;02 40 46 50 76;;44100;[ 47.2054070822712 , -1.58954510248318]
446;Maternelle Fonteny;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;33 Rue du Fonteny;02 40 46 16 70;;44100;[ 47.2047523984114 , -1.59267571996793]
447;Primaire des Réformes;5;ENSEIGNEMENT;503;Primaire;;;Public;NANTES;12 Rue des Réformes;02 40 46 16 12;;44100;[ 47.1995545425208 , -1.59132498272933]
449;Lycée Professionnel Louis Antoine de Bougainville;5;ENSEIGNEMENT;505;Lycée;;;Public;NANTES;2 Rue Eugène Le Roux;02 51 80 24 00;;44100;[ 47.1982474254362 , -1.59280219076573]
450;Maternelle Elémentaire Saint Martin;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;6 Rue Jean Baptiste Legeay;02 40 46 39 98;;44100;[ 47.2004227264891 , -1.59438126175588]
451;Maternelle Alain Fournier;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;87 Rue du Bois Hardy;02 40 46 46 56;;44100;[ 47.2037795863207 , -1.60090274102678]
452;Maternelle Plessis Cellier;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;61 Rue des Alouettes;02 40 58 07 31;;44100;[ 47.2017664637184 , -1.60620393361935]
453;Collège Claude Debussy;5;ENSEIGNEMENT;504;Collège;;;Public;NANTES;1 Rue du Doubs;02 40 43 85 02;;44100;[ 47.203786075958 , -1.60600019919483]
